Ethereum,XRP,BITCOIN CASH,BIBOX TOKEN,Nebulas,EOS,BINANCE COIN,CARDANO,UPDOWN
170.91,0.321024,290.81,0.396499,1.21,5.17,22.9,0.074524,1
171.04,0.323457,292.1,0.387585,1.23,5.23,23.93,0.07804,1
169.99,0.322881,290.09,0.470588,1.21,5.22,24.21,0.074106,1
173.17,0.327647,299.6,0.450526,1.27,5.44,24.94,0.076506,1
173.23,0.331008,305.79,0.483858,1.31,5.47,24.31,0.0795,1
173.41,0.336402,305.92,0.486709,1.31,5.48,21.71,0.081775,1
166.33,0.334832,308.85,0.477364,1.32,5.44,19.57,0.083074,1
166.48,0.32634,317.62,0.461056,1.41,5.52,19.78,0.083783,1
160.53,0.3196,313.6,0.3949,1.3,5.36,19.4,0.0822,1
167.62,0.3282,288.24,0.403,1.39,5.54,19.32,0.0843,0
163.97,0.3256,278.69,0.4094,1.43,5.32,18.65,0.0834,1
164.57,0.3267,282.9,0.3607,1.47,5.37,18.23,0.0831,0
165.04,0.3299,272.74,0.3369,1.25,5.33,17.69,0.0831,1
177.33,0.3547,304.55,0.3834,1.29,5.84,18.26,0.0896,0
175.29,0.3487,294.74,0.4166,1.14,5.54,18.35,0.0834,1
180.01,0.358,309.22,0.4762,1.13,5.52,18.06,0.0867,0
174.09,0.3592,319.71,0.4604,1.22,5.43,19.11,0.0901,1
165.33,0.3535,305.41,0.5132,1.22,5.33,19.19,0.0899,1
165.14,0.3621,291.94,0.5395,1.22,5.32,19.34,0.0903,1
157.41,0.331,286.69,0.5374,1.22,5.06,19.19,0.0872,1
160.43,0.3417,298.62,0.523,1.19,5.2,18.78,0.0907,0
164.05,0.3519,241.29,0.5032,1.17,5.03,19.72,0.0846,1
141.51,0.3129,167.56,0.4775,1.09,4.21,17.89,0.0723,1
141.59,0.3093,168.9,0.4706,0.9467,4.2,17.38,0.07,1
142.29,0.311,166.99,0.5254,0.9373,4.15,16.82,0.0718,0
143.15,0.3079,170.4,0.3313,0.9659,4.3,16.48,0.0719,1
137.81,0.307,168.19,0.3442,0.9243,4.25,16.58,0.0656,1
139.64,0.31,171.35,0.3258,0.9424,4.31,16.59,0.067,0
134.03,0.3012,159.11,0.2961,0.8581,3.66,16.27,0.0615,1
133.82,0.3027,160.11,0.2993,0.8968,3.65,16.78,0.0586,1
136.06,0.3079,164.57,0.3132,0.9346,3.63,17.15,0.0611,0
137.2,0.3113,166.01,0.2945,0.9158,3.67,15.14,0.0635,0
136.1,0.3105,156.92,0.3069,0.8398,3.62,15.18,0.0578,1
135.06,0.3107,152.69,0.3259,0.8405,3.62,14.39,0.0526,1
139.08,0.3174,158.32,0.3395,0.8616,3.71,15.16,0.0533,0
138.52,0.3167,159.89,0.236,0.8104,3.72,15.43,0.0519,1
137.66,0.3149,160.75,0.1936,0.8233,3.71,15.52,0.05,1
138.55,0.3151,153.8,0.1991,0.862,3.74,15.6,0.0497,1
141.09,0.3185,155.81,0.203,0.8451,3.8,15.99,0.0512,0
136.45,0.3145,143.5,0.198,0.8177,3.69,14.88,0.0498,1
132.15,0.3109,131.92,0.1897,0.7869,3.56,14.85,0.0476,1
131.67,0.3132,127.76,0.1899,0.7822,3.58,14.96,0.0462,1
133.29,0.3102,128.27,0.1988,0.8139,3.63,15.2,0.0472,0
132.39,0.3088,128.16,0.1895,0.7966,3.56,14.33,0.0473,1
135.62,0.3131,131.4,0.2047,0.6919,3.71,14.39,0.0455,0
137.2,0.3135,133.39,0.2174,0.6779,3.75,14.49,0.0466,0
133.54,0.3075,127.59,0.1971,0.6269,3.59,14.18,0.0424,1
136.79,0.3126,130.53,0.2204,0.635,3.75,14.91,0.0426,0
137.33,0.3146,131.38,0.1911,0.6302,3.73,14.48,0.0425,1
136.55,0.3145,131.36,0.1751,0.6172,3.75,13.63,0.0428,1
125.62,0.3025,123.19,0.155,0.5869,3.23,11.42,0.0402,1
130.54,0.311,129.65,0.1558,0.6121,3.52,11.31,0.042,0
132.41,0.3131,130.5,0.1645,0.6187,3.47,11.68,0.0423,0
134.95,0.3151,131.06,0.1637,0.6261,3.49,11.25,0.0429,1
135.49,0.3134,130.34,0.1473,0.6224,3.51,10.25,0.0428,1
134.85,0.3105,131.11,0.151,0.6157,3.5,9.82,0.043,1
136,0.3164,132.07,0.1478,0.6067,3.42,9.42,0.0429,1
137.82,0.3253,133.56,0.142,0.6342,3.54,9.69,0.0435,0
134.32,0.2972,127.3,0.1391,0.591,3.55,10.09,0.042,1
157.68,0.3313,150.2,0.1602,0.6706,4.24,10.65,0.0482,0
148.04,0.3215,143.8,0.1461,0.6141,3.87,10.77,0.0458,1
145.3,0.32,141.44,0.1407,0.573,3.8,10.42,0.0448,1
148.87,0.3314,146.8,0.1481,0.5982,3.88,11.09,0.0473,0
143.66,0.3215,141.67,0.1431,0.5899,3.53,10.48,0.0459,1
145.33,0.3198,143.18,0.1382,0.6119,3.45,9.56,0.0454,1
133.88,0.3029,124.44,0.1291,0.5802,2.88,9.21,0.0415,1
122.94,0.3002,121.55,0.1306,0.5619,2.81,9.08,0.041,1
121.57,0.3003,121.12,0.1286,0.5469,2.79,9.26,0.0404,1
120.59,0.2996,120.98,0.1286,0.5332,2.74,8.69,0.0404,1
122.09,0.3028,122,0.1317,0.5438,2.86,8.85,0.041,0
122.54,0.3037,122.49,0.1302,0.5476,2.94,9.29,0.0417,0
120.97,0.3015,122.13,0.1337,0.5442,2.75,9.4,0.0416,1
124.89,0.3076,126.9,0.1287,0.5506,2.8,9,0.0427,0
119.49,0.3106,127.86,0.1296,0.5554,2.78,8.83,0.0412,1
119.33,0.3104,130.42,0.1278,0.5537,2.72,8.58,0.0407,1
104.27,0.2902,114.89,0.1195,0.5047,2.34,7.75,0.0364,1
104.62,0.289,114.69,0.1233,0.5065,2.34,8,0.0367,0
107.32,0.2992,117.47,0.1243,0.5172,2.39,7.7,0.038,0
107.62,0.2992,118.96,0.1218,0.5179,2.4,7.06,0.038,1
107.2,0.3017,118.21,0.1202,0.5248,2.37,6.73,0.0381,1
108.78,0.3083,120.22,0.122,0.5253,2.36,6.89,0.039,0
107.01,0.3066,115.7,0.1227,0.5225,2.33,6.53,0.0387,1
106.34,0.3085,113.64,0.1235,0.5188,2.31,6.23,0.0382,1
108.27,0.32,117.64,0.1258,0.5274,2.32,6.14,0.0394,0
104.6,0.2866,109.8,0.1242,0.5252,2.26,6.26,0.038,1
105.35,0.2929,111.15,0.1247,0.5258,2.23,6.16,0.0385,0
112.51,0.3075,121.51,0.1291,0.5524,2.36,7.02,0.0409,0
115.34,0.3127,125.54,0.1318,0.5702,2.41,6.94,0.0424,0
115.15,0.3139,126.78,0.1324,0.5463,2.43,6.68,0.0424,0
116.25,0.3157,128.17,0.1263,0.5551,2.43,6.43,0.0427,0
116.42,0.3149,131.37,0.1247,0.5524,2.41,6.44,0.0426,1
117.82,0.3177,127.09,0.1258,0.5586,2.43,6.45,0.0433,0
115.83,0.318,121.54,0.1237,0.5516,2.33,6.49,0.0425,1
117.61,0.3169,122.11,0.1233,0.5415,2.33,6.4,0.0429,0
122.93,0.3275,128.34,0.1292,0.5827,2.45,6.53,0.0451,0
119.17,0.3207,126.48,0.1227,0.5628,2.43,6.45,0.0437,1
121.93,0.3262,129.08,0.1376,0.5684,2.47,6.29,0.0447,0
122.25,0.3273,127.24,0.1268,0.5487,2.41,6.06,0.0441,1
119.81,0.3233,125.99,0.1286,0.5227,2.36,5.83,0.0422,1
127.41,0.3312,131.79,0.1317,0.5385,2.44,6.01,0.0434,0
114.77,0.314,123.84,0.1263,0.5124,2.22,5.48,0.0396,1
123.76,0.3271,132.54,0.1292,0.5436,2.38,5.87,0.0431,0
124.63,0.3275,129.15,0.1378,0.5299,2.37,5.97,0.0433,0
126.62,0.329,133.09,0.1335,0.5158,2.39,5.84,0.044,1
148.74,0.3673,157.86,0.1478,0.6164,2.87,6.51,0.0514,0
148.15,0.3626,158.85,0.1483,0.6021,2.75,6.57,0.0478,1
149.9,0.3618,158.82,0.1501,0.6077,2.73,6.21,0.0474,0
154.7,0.3626,163.37,0.1516,0.6059,2.82,6.27,0.0484,0
153.65,0.3508,156.56,0.1456,0.5885,2.66,5.91,0.0442,1
153.06,0.3554,159.77,0.1436,0.5885,2.69,5.97,0.0433,0
146.73,0.3539,159.16,0.1426,0.5827,2.63,5.8,0.042,1
152.86,0.3708,168.53,0.1474,0.611,2.83,6.06,0.0447,0
138.14,0.3601,162.45,0.1425,0.591,2.62,5.99,0.0419,1
131.46,0.3492,148.84,0.1373,0.5748,2.52,6.08,0.0405,1
137.63,0.3642,160.7,0.141,0.6124,2.63,5.89,0.0427,0
138.75,0.3636,165.84,0.1402,0.6065,2.62,5.73,0.0406,1
134.02,0.3695,169.7,0.1446,0.6123,2.6,5.88,0.0409,0
114.1,0.3348,147.62,0.1328,0.5622,2.28,5.17,0.0372,1
129.51,0.3738,174.44,0.1435,0.6022,2.55,5.6,0.0405,0
127.64,0.3752,167.55,0.1551,0.5991,2.48,5.36,0.0408,1
138.96,0.4052,180.47,0.1622,0.6834,2.76,6.09,0.0453,0
129.21,0.3668,194.93,0.1624,0.6647,2.78,5.96,0.0438,1
115.05,0.3583,194.14,0.1611,0.6379,2.57,5.82,0.0416,0
107.85,0.3552,192.11,0.1644,0.6347,2.58,5.48,0.0404,1
114.43,0.3733,189.09,0.1711,0.6245,2.71,5.67,0.0389,0
99.49,0.3481,128.04,0.1692,0.58,2.45,5.42,0.0349,1
100.05,0.3476,103.45,0.1736,0.578,2.62,5.52,0.0346,1
94.07,0.3251,88.17,0.1704,0.5607,2.39,5.06,0.0322,1
84.47,0.2858,79.62,0.1607,0.4997,1.9,4.65,0.0289,1
83.83,0.2837,76.93,0.1628,0.4899,1.89,4.54,0.0277,0
83.79,0.2877,79.82,0.1639,0.4931,1.82,4.47,0.0283,1
85.96,0.2986,87.45,0.1722,0.5293,1.83,4.6,0.0291,0
89.38,0.3041,96.43,0.1799,0.5488,1.95,4.97,0.0303,0
87.85,0.2984,96.58,0.173,0.5473,1.82,4.86,0.0293,1
89.85,0.2993,100.84,0.1737,0.5543,1.91,4.59,0.0298,0
93.53,0.3098,106.82,0.1782,0.5839,2,4.8,0.0313,0
90.68,0.3047,100.1,0.173,0.6117,1.82,4.7,0.0304,1
92.97,0.3017,104.84,0.176,0.5941,1.73,4.51,0.0297,1
91.1,0.3075,106.79,0.1791,0.5891,1.85,4.93,0.0305,0
102.51,0.34,133.75,0.1969,0.6463,2.19,6.06,0.0345,0
109.85,0.3519,152.19,0.2065,0.6997,2.45,5.87,0.0376,0
108.68,0.3493,159.57,0.2046,0.6947,2.59,5.07,0.0389,1
115.94,0.3658,171.07,0.2193,0.7663,2.83,5.23,0.0415,0
118.1,0.3729,173.47,0.2261,0.772,2.94,5.26,0.0414,0
113.4,0.3625,173.18,0.2108,0.7782,2.88,5.07,0.0391,1
117.71,0.3797,181.07,0.2236,0.8022,3.01,5.35,0.0418,0
122.45,0.3913,190.51,0.2245,0.8106,3.27,5.33,0.042,1
110.43,0.3617,180.42,0.2039,0.6771,3.02,4.94,0.0367,1
109.43,0.3595,182.57,0.1954,0.6804,3.21,4.94,0.0361,1
117.53,0.3783,186.37,0.2095,0.7029,3.38,5.21,0.0382,0
114.29,0.3772,181.38,0.2096,0.7269,3.28,5.16,0.0387,1
124.15,0.4124,208.64,0.2283,0.7528,3.64,5.62,0.0443,0
126.07,0.4259,211.4,0.2332,0.7739,3.54,5.72,0.0439,1
137.17,0.4497,237.43,0.2315,0.8179,3.83,6.23,0.0481,0
131.48,0.4366,226.6,0.2275,0.7618,3.75,5.83,0.0454,1
150.39,0.4817,233.57,0.2401,0.8783,4.11,6.7,0.0529,0
177.73,0.5132,314.51,0.2814,1.09,4.6,8.02,0.0621,0
175.67,0.4955,391.83,0.2855,1.1,4.61,7.81,0.0611,1
176.02,0.4748,391.25,0.2854,1.13,4.58,7.93,0.0614,0
182.45,0.4866,416.9,0.2966,1.16,4.73,8.25,0.0639,0
184.02,0.4773,444.7,0.3018,1.15,4.7,8.53,0.0656,0
208.58,0.5134,516.36,0.3471,1.33,5.26,9.31,0.0741,0
211.66,0.521,519.95,0.3483,1.41,5.43,9.41,0.0764,0
212.47,0.5088,535.24,0.3478,1.4,5.48,9.53,0.0768,0
212.97,0.5081,555.89,0.3507,1.41,5.43,9.58,0.0754,1
210.79,0.5026,546.44,0.3532,1.44,5.4,9.57,0.0747,1
213.41,0.4967,577.78,0.3508,1.43,5.54,9.7,0.077,0
219.02,0.5391,620.56,0.3559,1.47,5.68,9.88,0.079,0
219.16,0.55,630.74,0.3526,1.47,5.74,9.81,0.0809,1
209.11,0.4967,558.2,0.3465,1.42,5.47,9.7,0.0763,1
206.81,0.4599,559.13,0.3387,1.51,5.43,9.45,0.0757,1
200.14,0.4571,480.63,0.3397,1.48,5.33,9.58,0.0717,0
202.28,0.4617,466.15,0.3459,1.52,5.39,9.65,0.0732,0
199.12,0.4581,426.01,0.3439,1.49,5.27,9.57,0.071,1
198.64,0.4536,427.49,0.3382,1.49,5.25,9.48,0.0704,1
197.45,0.4467,423.66,0.3371,1.43,5.14,9.44,0.07,1
195.75,0.4409,416.34,0.3412,1.42,5.13,9.39,0.0697,1
204.72,0.4631,441.65,0.3484,1.5,5.43,9.7,0.0735,0
203.19,0.4574,438.12,0.3459,1.49,5.39,9.69,0.073,1
203.38,0.4616,441.26,0.3494,1.55,5.42,9.76,0.0742,0
202.35,0.4605,442.49,0.3572,1.53,5.4,9.74,0.0743,1
203.52,0.4588,443.71,0.3574,1.6,5.4,9.76,0.0747,0
204.08,0.464,445.4,0.3539,1.59,5.44,9.85,0.075,1
205.04,0.4568,452.61,0.3518,1.63,5.43,9.82,0.0765,0
206.31,0.4608,453.02,0.3545,1.68,5.48,9.89,0.0765,0
206.88,0.4642,452.9,0.3542,1.68,5.44,9.88,0.0773,0
203.98,0.4577,445.02,0.3515,1.62,5.38,9.85,0.0764,1
204.31,0.4615,441.86,0.3579,1.62,5.41,9.85,0.0758,0
211.08,0.4759,458.14,0.354,1.65,5.52,10.12,0.0788,0
212.44,0.4758,464.77,0.3688,1.72,5.51,10.15,0.077,1
212.2,0.453,466.59,0.3709,1.78,5.56,10.47,0.0757,0
196.32,0.4052,442.78,0.3555,1.91,5.2,9.58,0.0717,1
201.05,0.4221,453.53,0.3645,1.87,5.3,9.61,0.0738,1
197.07,0.4213,445.82,0.3654,1.87,5.2,9.55,0.0735,1
192,0.3828,435.05,0.3632,1.73,5.11,9.29,0.071,1
225.66,0.4631,514.4,0.4113,1.96,5.9,10.38,0.0849,0
227.97,0.4803,519.5,0.4122,1.99,5.91,10.43,0.0864,0
229.52,0.4912,530.14,0.4181,1.76,5.93,10.56,0.0869,0
225.66,0.4831,519.23,0.4114,1.7,5.75,10.55,0.0846,1
225.07,0.4887,511.3,0.4101,1.71,5.74,10.43,0.0815,0
228.04,0.5198,520.82,0.4112,1.78,5.82,10.65,0.0832,0
222.2,0.5275,513.93,0.4114,1.67,5.78,10.31,0.0815,1
220.47,0.5285,517.08,0.4113,1.65,5.62,10.28,0.0809,1
225.79,0.5167,532.67,0.4184,1.72,5.62,10.34,0.0823,0
231.14,0.5774,532.78,0.4085,1.76,5.73,9.96,0.0846,0
232.78,0.5816,529.89,0.4123,1.69,5.7,10.01,0.0852,0
231.74,0.5716,538.22,0.4217,1.43,5.76,9.97,0.0846,1
222.23,0.5401,540.35,0.4189,1.4,5.76,9.97,0.084,0
229.22,0.5423,565.4,0.4228,1.43,5.83,10.06,0.0863,0
214.98,0.515,515.06,0.4124,1.38,5.55,9.74,0.0792,1
219.5,0.5281,445.71,0.4004,1.4,5.39,9.79,0.081,1
228.34,0.4944,462.22,0.4273,1.39,5.68,10.04,0.0828,0
244.78,0.5725,492.59,0.4492,1.46,6.04,10.31,0.0899,0
241.84,0.5734,488,0.4389,1.45,5.97,10.32,0.0837,0
247.41,0.5654,500.83,0.4415,1.54,6.17,10.45,0.0879,0
224.38,0.4496,457.45,0.421,1.41,5.74,10.05,0.0812,1
209.14,0.326,427.38,0.4116,1.32,5.23,9.61,0.0721,1
210.15,0.322,436.11,0.4204,1.32,5.09,9.55,0.0693,1
196.58,0.2713,418.67,0.4143,1.28,4.85,9.37,0.0637,1
220.14,0.2812,450.16,0.4328,1.37,5.41,9.94,0.0699,0
223.05,0.2819,450.76,0.436,1.4,5.41,10.11,0.0693,0
211.38,0.2769,449.11,0.433,1.4,5.25,9.92,0.0681,1
211.83,0.2808,465.36,0.4586,1.46,5.43,9.61,0.0699,1
182.95,0.2702,432.66,0.4268,1.32,4.94,9.2,0.0666,1
184.08,0.2638,438.61,0.4078,1.33,4.96,9.35,0.0703,1
196.36,0.2688,465.01,0.4312,1.48,5.02,9.51,0.0734,0
195.88,0.2775,478.48,0.4426,1.47,4.95,9.5,0.0764,1
196.87,0.2746,473.27,0.3928,1.47,4.74,9.47,0.0778,1
215.43,0.2894,496.85,0.4176,1.39,5.06,9.97,0.0833,0
229.37,0.3015,518.11,0.4281,1.62,5.22,10.26,0.0885,0
232.6,0.2815,530.16,0.4254,1.61,5.22,10.12,0.0886,0
285.49,0.3308,626.23,0.4997,2,6.47,11.35,0.1053,0
288.85,0.3358,628.02,0.4975,1.93,6.47,11.26,0.1036,1
294.59,0.3427,649.28,0.5017,2.06,6.62,11.28,0.1055,0
295.65,0.348,618.52,0.5018,2.03,6.67,11.41,0.1074,1
282.22,0.3355,543.43,0.4853,1.89,6.42,11,0.1022,1
285.1,0.3356,540.4,0.5011,1.82,6.08,10.75,0.1009,1
288.51,0.3447,554.85,0.5172,1.93,6.14,11.16,0.1053,0
296.3,0.3524,567.73,0.5179,2.06,5.93,11.47,0.1057,0
286.96,0.3383,549.76,0.5113,1.92,5.38,11.22,0.1009,1
273.5,0.3236,523.97,0.4924,1.79,4.95,10.22,0.0933,1
277.97,0.328,537.8,0.5245,1.83,5.04,10.12,0.0945,0
281.73,0.3273,533.41,0.5288,1.77,5.05,10.19,0.0943,1
275.81,0.3275,530.84,0.5386,1.8,4.91,9.69,0.0923,1
269.25,0.3193,518.19,0.5043,1.91,4.7,9.45,0.0899,1
280.37,0.3346,535.82,0.5188,1.89,4.9,9.71,0.0949,0
271.06,0.3185,509.91,0.5102,1.87,4.73,9.63,0.0938,1
299.44,0.3437,571.77,0.5388,2,5.28,10.12,0.1024,0
293.18,0.3264,554.03,0.5331,1.76,5.08,9.86,0.0997,1
314.79,0.3659,592.81,0.5631,2,5.5,10.75,0.1099,0
286.32,0.2924,516.72,0.5036,1.31,4.51,9.73,0.0952,1
281.14,0.2817,512.29,0.4564,1.14,4.63,9.42,0.0946,1
277.75,0.2739,511.35,0.4656,1.14,4.56,9.45,0.0946,1
284.96,0.2792,532.94,0.5082,1.19,4.62,10.18,0.1039,0
317.96,0.2971,572.2,0.5354,1.42,5,11.69,0.1123,0
317.31,0.3007,557.17,0.5646,1.4,4.96,11.62,0.1111,1
332.49,0.3208,570.33,0.5875,1.6,5.26,12.11,0.1157,1
363.69,0.3462,607.17,0.6312,1.83,5.77,12.8,0.1232,0
353.65,0.3317,582.29,0.5794,1.67,5.55,12.11,0.1145,1
377.75,0.3802,655.47,0.6708,2.03,6.58,13.09,0.1252,0
404.82,0.4133,690.66,0.7051,2.17,7.06,13.68,0.1303,0
409.16,0.4345,711.42,0.7288,2.29,7.04,13.65,0.131,0
406.88,0.43,693.97,0.7217,2.11,6.97,13.84,0.1269,1
417.36,0.4409,723.07,0.7881,2.16,7.18,14.09,0.1301,0
410.93,0.4311,732.4,0.8158,2.3,7.04,14.17,0.1317,0
417.28,0.4473,767.31,0.785,2.59,7.25,13.59,0.1409,0
432.35,0.4354,775.89,0.7985,2.68,7.34,13.74,0.1431,0
458.08,0.4465,816.56,0.9313,2.87,7.76,13.21,0.1539,0
466.42,0.4529,829.32,1.01,3.08,8.34,13.96,0.1633,0
465.9,0.4545,819.29,0.9802,3.22,8.33,14.34,0.1635,1
467.96,0.4523,815.97,0.9305,3.23,8.39,13.6,0.1651,1
460.87,0.4488,803.39,0.9848,3.29,8.25,13.26,0.1647,1
468.74,0.4587,829.69,0.8153,3.43,8.44,12.78,0.1721,0
477.21,0.4581,869.47,0.8816,3.41,8.56,11.99,0.1729,0
447.92,0.4451,782.72,0.8381,3.32,7.86,11.73,0.1644,1
455.53,0.4488,786.17,0.7713,3.5,7.8,11.68,0.1697,1
458.08,0.4542,787.91,0.7652,3.52,7.95,11.81,0.1631,1
447.2,0.4459,764.39,0.7424,3.35,7.82,11.76,0.1623,1
464.79,0.4756,821.51,0.7443,3.5,8.31,12.56,0.181,0
475.99,0.4842,824.16,0.7549,3.58,8.53,12.77,0.1793,1
497.18,0.5042,851.89,0.7589,3.71,8.72,13.69,0.1709,1
478.21,0.4816,807.47,0.7614,3.59,8.03,13.19,0.1595,1
446.61,0.4457,722.37,0.698,3.33,7.33,12.19,0.1421,1
431.78,0.4384,698.94,0.6745,3.03,6.89,12.05,0.1368,1
431.27,0.4379,693.8,0.6714,3.15,6.86,11.98,0.1372,0
427.79,0.4358,682.68,0.6816,3.22,6.87,11.96,0.1268,1
443.03,0.449,705.03,0.7314,3.44,7.1,12.57,0.1313,0
431.76,0.4449,686.41,0.7537,3.83,7.17,12.72,0.1287,1
469.7,0.4726,729.36,0.8445,4.32,7.67,13.09,0.1397,0
483.8,0.477,748.18,0.8878,4.56,8.63,13.69,0.1453,0
481.52,0.4842,769.33,0.9277,4.67,8.74,13.94,0.148,0
467.59,0.4779,732.53,0.9205,4.57,8.52,13.19,0.1454,1
466.88,0.4764,736.16,0.9632,4.59,8.78,13.35,0.1474,1
463.22,0.4889,760.22,0.9016,4.8,8.8,13.92,0.1508,0
459.7,0.4835,755.23,0.8964,4.85,8.76,14.07,0.1499,1
472.31,0.4859,778.13,0.9683,5.15,8.84,14.54,0.1536,0
447.68,0.4595,732.87,0.94,4.95,8.01,14.11,0.1415,1
449.43,0.465,746.12,0.9678,4.91,8.07,14.46,0.1378,0
432.51,0.4531,715.01,0.9205,4.71,7.68,14.36,0.1251,1
420.86,0.4492,661.44,0.8572,4.71,7.4,13.89,0.1195,1
437.88,0.4697,712.86,0.9536,4.99,7.93,14.03,0.127,0
430.6,0.4555,697.53,0.9853,4.39,7.41,14.14,0.1261,1
458.93,0.4814,756.48,1.1,4.47,8.19,14.92,0.1352,0
455.72,0.4777,748.41,1.02,4.48,8.06,14.47,0.1321,1
472.98,0.4922,764.8,1.12,4.56,8.38,15.65,0.1388,0
463.94,0.4884,757.99,1.14,4.62,8.66,15.65,0.1405,1
520.67,0.5337,868.03,1.35,5.28,10.29,16.98,0.1583,0
529.76,0.5376,886.56,1.38,5.36,10.3,16.01,0.1617,0
532,0.548,900.82,1.38,5.65,10.59,16.65,0.1666,1
512.43,0.536,881.65,1.19,5.5,10.54,16.86,0.1635,1
491.4,0.5256,843.36,1.15,5.55,10.17,16.46,0.1602,1
493.07,0.5338,850.36,1.25,5.54,10.47,15.73,0.1624,0
485.43,0.5342,843.98,1.31,5.51,10.52,15.05,0.1622,1
516.64,0.5604,897.09,1.52,5.58,11.23,14.91,0.1717,0
474.86,0.5352,845.09,1.41,5.13,10.1,14.65,0.1606,1
495.08,0.5639,876.93,1.59,5.12,10.17,15.28,0.1662,0
529.13,0.6049,961.68,1.59,5.76,11.54,15.42,0.181,0
523,0.5857,939.04,1.48,5.65,11.29,14.11,0.177,1
581.12,0.6543,1077.11,1.7,6.55,13.91,15.75,0.2001,0
590.5,0.6723,1110.57,1.63,6.87,13.89,16.15,0.2043,0
595.13,0.6754,1134.32,1.43,6.97,14.37,16.2,0.2092,0
598.22,0.6734,1127.24,1.28,7.21,13.81,17.16,0.2152,1
600.68,0.6758,1145.79,1.23,7.34,14.09,15.52,0.2193,1
586.58,0.6619,1104.46,1.3,7.17,13.46,14.21,0.2137,1
609.29,0.6791,1162.02,1.33,7.32,14.44,14.57,0.2264,0
583.13,0.6411,1077.32,1.28,7.41,14.64,14.54,0.2266,1
573.83,0.6228,1001.79,1.14,7.22,12.22,14.23,0.222,1
571.73,0.6132,992.82,1.14,6.81,12.19,14.17,0.2244,1
555.35,0.6054,983.22,1.05,6.05,11.96,12.54,0.212,1
561.74,0.6015,987.13,1.06,6.21,12.14,12.57,0.2032,0
511.62,0.5519,888.96,0.9967,5.81,11.6,11.81,0.1748,1
565.93,0.6067,994.73,1.08,6.11,12.42,12.57,0.1934,0
580.48,0.6123,1007.69,1.07,6.23,12.3,12.74,0.1964,0
582.28,0.6117,1018.39,1.1,6.19,12.3,12.89,0.2009,0
597.85,0.6316,1070.49,1.13,6.28,12.73,13.01,0.2081,0
581.24,0.6012,1008.19,1.08,5.92,10.87,12.63,0.2008,1
641.1,0.6452,1142.54,1.09,6.28,12.2,13.86,0.2245,0
688.91,0.6802,1229.55,1.13,7.2,13.41,14.73,0.2481,0
703.81,0.6978,1287,1.04,7.56,13.86,14.01,0.2544,0
685.85,0.674,1175.07,1.13,7.28,13.03,14.16,0.2398,1
686.21,0.6795,1203.97,1.2,7.22,12.93,15.12,0.2423,0
665.63,0.6671,1207.49,0.9416,7.02,12.39,12.48,0.2435,1
702.45,0.7136,1286.18,0.7718,7.7,12.7,12.25,0.256,0
703.16,0.6972,1344.61,0.778,7.63,12.93,12.56,0.2592,0
727.8,0.7417,1437.18,0.7973,8.12,13.99,12.9,0.2739,0
726.87,0.7459,1496.21,0.7909,8.59,14.88,13.12,0.2856,1
683.17,0.6978,1480.07,0.7388,8.05,14.24,12.97,0.2712,1
675.29,0.6862,1373.65,0.7416,7.79,14.86,12.93,0.2613,1
717.41,0.7556,1521.18,0.8497,8.6,17.4,13.71,0.2953,0
743.64,0.8003,1635.21,0.8634,9.15,17.78,14.55,0.316,0
744.32,0.8123,1605.35,0.7509,9.6,18,13.4,0.3218,1
748.81,0.8314,1653.84,0.748,10.03,17.91,13.69,0.3343,0
785.89,0.8715,1769.51,0.7682,10.16,17.37,13.9,0.349,0
807.07,0.9042,1754.12,0.8161,10.7,17.7,14.29,0.3653,0
777.91,0.8938,1512.35,0.8159,10.92,17.03,14.24,0.3588,1
781.43,0.8876,1508.09,0.811,11.08,17.81,15.45,0.372,1
676.55,0.8554,1449.42,0.7054,11.05,19.05,14.25,0.3695,1
665.23,0.8373,1350.06,0.7189,9.69,18.87,14.06,0.3563,1
662.73,0.8353,1344.01,0.7318,9.09,17.38,14.25,0.3412,0
680.12,0.8706,1433.17,0.7291,9.95,21.27,14.95,0.3631,0
672.6,0.861,1382.4,0.7248,8.76,18.72,15.04,0.3558,1
641.99,0.8137,1334.27,0.6851,7.07,16.58,14.21,0.2893,1
657.06,0.8516,1415.22,0.7094,7.01,15.37,14.58,0.2935,0
613.73,0.7953,1276.46,0.6655,6.27,14.38,13.34,0.2698,1
705.03,0.9402,1428.3,0.7538,7.34,15.34,15.24,0.3133,0
636.37,0.875,1432.46,0.6849,6.11,11.46,13.56,0.2876,1
617.2,0.8692,1195.37,0.6223,6.06,11.29,12.85,0.2842,1
600.26,0.8722,1150.86,0.5988,5.88,11.05,13.29,0.2914,0
590.27,0.9304,1122,0.603,5.84,11.12,12.3,0.2944,1
566.39,0.7899,969.4,0.6355,5.65,9.35,12.37,0.2725,1
517.37,0.7054,887.76,0.5732,5.19,8.86,12.22,0.2605,1
498.47,0.6566,756.74,0.552,4.95,8.37,11.74,0.2435,1
